document,text,keyword,event_trigger,temporal_status,measurability,event_factuality,kw_is_nsubj,kw_is_dobj,kw_is_pobj,category,text_kw_et,text_kw,relation_time_specification,relation_unit
104.txt,The Board and senior management are committed to developing and maintaining a culture of integrity and ethical conduct.  ,76-85 [a culture],49-75 [developing and maintaining],ongoing,1.0,0_low,False,True,False,intention,"The Board and senior management are committed to developing and maintaining a culture of integrity and ethical conduct. (keyword: ""a culture"", event trigger: ""developing and maintaining"")","The Board and senior management are committed to developing and maintaining a culture of integrity and ethical conduct. (keyword: ""a culture"")",,
105.txt,"The annual power savings at the Yara Porsgrunn site in Norway are expected to be in the region of 40 GWh, leading to CO2 emissions reductions of 12–19 kilotons.",117-141 [CO2 emissions reductions],106-113 [leading],future,3.0,1_medium,False,False,True,situation,"The annual power savings at the Yara Porsgrunn site in Norway are expected to be in the region of 40 GWh, leading to CO2 emissions reductions of 12–19 kilotons. (keyword: ""CO2 emissions reductions"", event trigger: ""leading"")","The annual power savings at the Yara Porsgrunn site in Norway are expected to be in the region of 40 GWh, leading to CO2 emissions reductions of 12–19 kilotons. (keyword: ""CO2 emissions reductions"")",,145-159 [12–19 kilotons]
106.txt,We have reported our Scope 2 emissions using both the location and market-based methods in line with the GHG Protocol Scope 2 Guidance.,17-38 [our Scope 2 emissions],8-16 [reported],past,2.0,3_max,False,True,False,action,"We have reported our Scope 2 emissions using both the location and market-based methods in line with the GHG Protocol Scope 2 Guidance. (keyword: ""our Scope 2 emissions"", event trigger: ""reported"")","We have reported our Scope 2 emissions using both the location and market-based methods in line with the GHG Protocol Scope 2 Guidance. (keyword: ""our Scope 2 emissions"")",,
106.txt,We have reported our Scope 2 emissions using both the location and market-based methods in line with the GHG Protocol Scope 2 Guidance.,105-134 [GHG Protocol Scope 2 Guidance],88-100 [in line with],ongoing,2.0,_,False,False,True,situation,"We have reported our Scope 2 emissions using both the location and market-based methods in line with the GHG Protocol Scope 2 Guidance. (keyword: ""GHG Protocol Scope 2 Guidance"", event trigger: ""in line with"")","We have reported our Scope 2 emissions using both the location and market-based methods in line with the GHG Protocol Scope 2 Guidance. (keyword: ""GHG Protocol Scope 2 Guidance"")",,
11.txt,She felt empowered to own her projects and benefited from a supportive learning environment.,58-91 [a supportive learning environment],43-52 [benefited],past,1.0,3_max,False,False,True,situation,"She felt empowered to own her projects and benefited from a supportive learning environment. (keyword: ""a supportive learning environment"", event trigger: ""benefited"")","She felt empowered to own her projects and benefited from a supportive learning environment. (keyword: ""a supportive learning environment"")",,
110.txt,"We believe our patients and society will require products that have the smallest possible environmental impact, without sacrificing medical efficacy or safety.",68-110 [the smallest possible environmental impact],63-67 [have],future,1.0,_,False,True,False,belief,"We believe our patients and society will require products that have the smallest possible environmental impact, without sacrificing medical efficacy or safety. (keyword: ""the smallest possible environmental impact"", event trigger: ""have"")","We believe our patients and society will require products that have the smallest possible environmental impact, without sacrificing medical efficacy or safety. (keyword: ""the smallest possible environmental impact"")",,
111.txt,"The Board understood and recognised the need to constantly adapt and modify available resources to help colleagues access remote well-being support, advice and resources.",160-169 [resources],115-121 [access],ongoing,1.0,0_low,False,False,False,intention,"The Board understood and recognised the need to constantly adapt and modify available resources to help colleagues access remote well-being support, advice and resources. (keyword: ""resources"", event trigger: ""access"")","The Board understood and recognised the need to constantly adapt and modify available resources to help colleagues access remote well-being support, advice and resources. (keyword: ""resources"")",,
111.txt,"The Board understood and recognised the need to constantly adapt and modify available resources to help colleagues access remote well-being support, advice and resources.",76-95 [available resources],59-75 [adapt and modify],ongoing,1.0,0_low,False,False,False,intention,"The Board understood and recognised the need to constantly adapt and modify available resources to help colleagues access remote well-being support, advice and resources. (keyword: ""available resources"", event trigger: ""adapt and modify"")","The Board understood and recognised the need to constantly adapt and modify available resources to help colleagues access remote well-being support, advice and resources. (keyword: ""available resources"")",,
113.txt,"As part of the company's governance process, an annual report on the company's social and environmental performance is published.  ",65-115 [the company's social and environmental performance],116-128 [is published],ongoing,1.0,3_max,False,False,True,situation,"As part of the company's governance process, an annual report on the company's social and environmental performance is published. (keyword: ""the company's social and environmental performance"", event trigger: ""is published"")","As part of the company's governance process, an annual report on the company's social and environmental performance is published. (keyword: ""the company's social and environmental performance"")",,
116.txt,We are introducing LEED v4 and we will achieve our first project certification in 2017.  ,47-78 [our first project certification],39-46 [achieve],future,3.0,3_max,False,True,False,intention,"We are introducing LEED v4 and we will achieve our first project certification in 2017. (keyword: ""our first project certification"", event trigger: ""achieve"")","We are introducing LEED v4 and we will achieve our first project certification in 2017. (keyword: ""our first project certification"")",82-86 [2017],
117.txt,"The company’s targets to promote reductions in its operational greenhouse gas emissions, to be reviewed in line with changing protocols and other relevant factors.",47-87 [its operational greenhouse gas emissions],25-32 [promote],future,2.0,0_low,False,False,True,intention,"The company’s targets to promote reductions in its operational greenhouse gas emissions, to be reviewed in line with changing protocols and other relevant factors. (keyword: ""its operational greenhouse gas emissions"", event trigger: ""promote"")","The company’s targets to promote reductions in its operational greenhouse gas emissions, to be reviewed in line with changing protocols and other relevant factors. (keyword: ""its operational greenhouse gas emissions"")",,
118.txt,"The main objective of the new policy is to reduce our CO2 emissions and better integrate the social, environmental and economic aspects in our activities.  ",50-67 [our CO2 emissions],43-49 [reduce],future,2.0,0_low,False,True,False,intention,"The main objective of the new policy is to reduce our CO2 emissions and better integrate the social, environmental and economic aspects in our activities. (keyword: ""our CO2 emissions"", event trigger: ""reduce"")","The main objective of the new policy is to reduce our CO2 emissions and better integrate the social, environmental and economic aspects in our activities. (keyword: ""our CO2 emissions"")",,
118.txt,"The main objective of the new policy is to reduce our CO2 emissions and better integrate the social, environmental and economic aspects in our activities.  ","89-135 [the social, environmental and economic aspects]",79-88 [integrate],future,1.0,0_low,False,True,False,intention,"The main objective of the new policy is to reduce our CO2 emissions and better integrate the social, environmental and economic aspects in our activities. (keyword: ""the social, environmental and economic aspects"", event trigger: ""integrate"")","The main objective of the new policy is to reduce our CO2 emissions and better integrate the social, environmental and economic aspects in our activities. (keyword: ""the social, environmental and economic aspects"")",,
119.txt,"Information on how the Group has considered other factors, such as communities, is also set out in Contributing to society from page with our stakeholders on page 80.",67-78 [communities],33-43 [considered],past,1.0,3_max,False,False,True,situation,"Information on how the Group has considered other factors, such as communities, is also set out in Contributing to society from page with our stakeholders on page 80. (keyword: ""communities"", event trigger: ""considered"")","Information on how the Group has considered other factors, such as communities, is also set out in Contributing to society from page with our stakeholders on page 80. (keyword: ""communities"")",,
12.txt,"To guide our operating companies, we have included respecting human rights in high-risk contexts in our global Human Rights Policy and designed a set of ‘Golden Principles’ and corresponding actions.",100-130 [our global Human Rights Policy],42-50 [included],past,2.0,3_max,False,False,True,action,"To guide our operating companies, we have included respecting human rights in high-risk contexts in our global Human Rights Policy and designed a set of ‘Golden Principles’ and corresponding actions. (keyword: ""our global Human Rights Policy"", event trigger: ""included"")","To guide our operating companies, we have included respecting human rights in high-risk contexts in our global Human Rights Policy and designed a set of ‘Golden Principles’ and corresponding actions. (keyword: ""our global Human Rights Policy"")",,
12.txt,"To guide our operating companies, we have included respecting human rights in high-risk contexts in our global Human Rights Policy and designed a set of ‘Golden Principles’ and corresponding actions.",62-74 [human rights],51-61 [respecting],ongoing,1.0,_,False,True,False,belief,"To guide our operating companies, we have included respecting human rights in high-risk contexts in our global Human Rights Policy and designed a set of ‘Golden Principles’ and corresponding actions. (keyword: ""human rights"", event trigger: ""respecting"")","To guide our operating companies, we have included respecting human rights in high-risk contexts in our global Human Rights Policy and designed a set of ‘Golden Principles’ and corresponding actions. (keyword: ""human rights"")",,
120.txt,"Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies.",0-18 [Public Lands Media],29-38 [reporting],ongoing,2.0,3_max,True,False,False,situation,"Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies. (keyword: ""Public Lands Media"", event trigger: ""reporting"")","Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies. (keyword: ""Public Lands Media"")",,
120.txt,"Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies.",103-119 [wildfire ecology],29-38 [reporting],ongoing,2.0,3_max,False,False,True,situation,"Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies. (keyword: ""wildfire ecology"", event trigger: ""reporting"")","Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies. (keyword: ""wildfire ecology"")",,
120.txt,"Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies.",121-138 [livestock grazing],29-38 [reporting],ongoing,2.0,3_max,False,False,False,situation,"Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies. (keyword: ""livestock grazing"", event trigger: ""reporting"")","Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies. (keyword: ""livestock grazing"")",,
120.txt,"Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies.",144-167 [forest service policies],29-38 [reporting],ongoing,2.0,3_max,False,False,False,situation,"Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies. (keyword: ""forest service policies"", event trigger: ""reporting"")","Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies. (keyword: ""forest service policies"")",,
120.txt,"Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies.",61-77 [the preservation],29-38 [reporting],ongoing,2.0,3_max,False,False,True,situation,"Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies. (keyword: ""the preservation"", event trigger: ""reporting"")","Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies. (keyword: ""the preservation"")",,
120.txt,"Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies.",81-93 [public lands],29-38 [reporting],ongoing,2.0,3_max,False,False,True,situation,"Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies. (keyword: ""public lands"", event trigger: ""reporting"")","Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies. (keyword: ""public lands"")",,
125.txt,We have a strong commitment to improving our social and environmental performance and this is reflected in our Corporate Governance Statement on our website.  ,41-81 [our social and environmental performance],31-40 [improving],ongoing,2.0,0_low,False,True,False,intention,"We have a strong commitment to improving our social and environmental performance and this is reflected in our Corporate Governance Statement on our website. (keyword: ""our social and environmental performance"", event trigger: ""improving"")","We have a strong commitment to improving our social and environmental performance and this is reflected in our Corporate Governance Statement on our website. (keyword: ""our social and environmental performance"")",,
126.txt,Company has established ‘Put Safety First’ as its top priority for employees and contractors at all levels.,67-76 [employees],12-23 [established],past,1.0,3_max,False,False,True,action,"Company has established ‘Put Safety First’ as its top priority for employees and contractors at all levels. (keyword: ""employees"", event trigger: ""established"")","Company has established ‘Put Safety First’ as its top priority for employees and contractors at all levels. (keyword: ""employees"")",,
126.txt,Company has established ‘Put Safety First’ as its top priority for employees and contractors at all levels.,81-92 [contractors],12-23 [established],past,1.0,3_max,False,False,False,action,"Company has established ‘Put Safety First’ as its top priority for employees and contractors at all levels. (keyword: ""contractors"", event trigger: ""established"")","Company has established ‘Put Safety First’ as its top priority for employees and contractors at all levels. (keyword: ""contractors"")",,
129.txt,"We are committed to a responsible and sustainable palm oil policy, in line with the RSPO Principles and Criteria.  ",20-65 [a responsible and sustainable palm oil policy],7-16 [committed],ongoing,1.0,3_max,False,False,True,belief,"We are committed to a responsible and sustainable palm oil policy, in line with the RSPO Principles and Criteria. (keyword: ""a responsible and sustainable palm oil policy"", event trigger: ""committed"")","We are committed to a responsible and sustainable palm oil policy, in line with the RSPO Principles and Criteria. (keyword: ""a responsible and sustainable palm oil policy"")",,
13.txt,"We are also adopting nature-based solutions to protect, sustainably manage and restore natural and modified ecosystems that address societal challenges, such as the impact of the climate crisis and supporting biodiversity.",179-193 [climate crisis],124-131 [address],ongoing,1.0,2_high,False,False,True,action,"We are also adopting nature-based solutions to protect, sustainably manage and restore natural and modified ecosystems that address societal challenges, such as the impact of the climate crisis and supporting biodiversity. (keyword: ""climate crisis"", event trigger: ""address"")","We are also adopting nature-based solutions to protect, sustainably manage and restore natural and modified ecosystems that address societal challenges, such as the impact of the climate crisis and supporting biodiversity. (keyword: ""climate crisis"")",,
13.txt,"We are also adopting nature-based solutions to protect, sustainably manage and restore natural and modified ecosystems that address societal challenges, such as the impact of the climate crisis and supporting biodiversity.",198-221 [supporting biodiversity],124-131 [address],ongoing,1.0,2_high,False,False,False,action,"We are also adopting nature-based solutions to protect, sustainably manage and restore natural and modified ecosystems that address societal challenges, such as the impact of the climate crisis and supporting biodiversity. (keyword: ""supporting biodiversity"", event trigger: ""address"")","We are also adopting nature-based solutions to protect, sustainably manage and restore natural and modified ecosystems that address societal challenges, such as the impact of the climate crisis and supporting biodiversity. (keyword: ""supporting biodiversity"")",,
13.txt,"We are also adopting nature-based solutions to protect, sustainably manage and restore natural and modified ecosystems that address societal challenges, such as the impact of the climate crisis and supporting biodiversity.",56-67 [sustainably],68-74 [manage],ongoing,1.0,0_low,False,False,False,action,"We are also adopting nature-based solutions to protect, sustainably manage and restore natural and modified ecosystems that address societal challenges, such as the impact of the climate crisis and supporting biodiversity. (keyword: ""sustainably"", event trigger: ""manage"")","We are also adopting nature-based solutions to protect, sustainably manage and restore natural and modified ecosystems that address societal challenges, such as the impact of the climate crisis and supporting biodiversity. (keyword: ""sustainably"")",,
13.txt,"We are also adopting nature-based solutions to protect, sustainably manage and restore natural and modified ecosystems that address societal challenges, such as the impact of the climate crisis and supporting biodiversity.",87-118 [natural and modified ecosystems],79-86 [restore],ongoing,2.0,0_low,False,True,False,action,"We are also adopting nature-based solutions to protect, sustainably manage and restore natural and modified ecosystems that address societal challenges, such as the impact of the climate crisis and supporting biodiversity. (keyword: ""natural and modified ecosystems"", event trigger: ""restore"")","We are also adopting nature-based solutions to protect, sustainably manage and restore natural and modified ecosystems that address societal challenges, such as the impact of the climate crisis and supporting biodiversity. (keyword: ""natural and modified ecosystems"")",,
130.txt,"The biggest risks in the company's business are related to more frequent and severe extreme weather conditions such as heavy rainfall, storms and drought.",119-133 [heavy rainfall],48-55 [related],ongoing,2.0,_,False,False,True,situation,"The biggest risks in the company's business are related to more frequent and severe extreme weather conditions such as heavy rainfall, storms and drought. (keyword: ""heavy rainfall"", event trigger: ""related"")","The biggest risks in the company's business are related to more frequent and severe extreme weather conditions such as heavy rainfall, storms and drought. (keyword: ""heavy rainfall"")",,
130.txt,"The biggest risks in the company's business are related to more frequent and severe extreme weather conditions such as heavy rainfall, storms and drought.",135-141 [storms],48-55 [related],ongoing,2.0,_,False,False,False,situation,"The biggest risks in the company's business are related to more frequent and severe extreme weather conditions such as heavy rainfall, storms and drought. (keyword: ""storms"", event trigger: ""related"")","The biggest risks in the company's business are related to more frequent and severe extreme weather conditions such as heavy rainfall, storms and drought. (keyword: ""storms"")",,
130.txt,"The biggest risks in the company's business are related to more frequent and severe extreme weather conditions such as heavy rainfall, storms and drought.",146-153 [drought],48-55 [related],ongoing,2.0,_,False,False,False,situation,"The biggest risks in the company's business are related to more frequent and severe extreme weather conditions such as heavy rainfall, storms and drought. (keyword: ""drought"", event trigger: ""related"")","The biggest risks in the company's business are related to more frequent and severe extreme weather conditions such as heavy rainfall, storms and drought. (keyword: ""drought"")",,
130.txt,"The biggest risks in the company's business are related to more frequent and severe extreme weather conditions such as heavy rainfall, storms and drought.",59-110 [more frequent and severe extreme weather conditions],48-55 [related],ongoing,2.0,_,False,False,True,situation,"The biggest risks in the company's business are related to more frequent and severe extreme weather conditions such as heavy rainfall, storms and drought. (keyword: ""more frequent and severe extreme weather conditions"", event trigger: ""related"")","The biggest risks in the company's business are related to more frequent and severe extreme weather conditions such as heavy rainfall, storms and drought. (keyword: ""more frequent and severe extreme weather conditions"")",,
131.txt,"The PSI captures GHG and water intensity metrics per product, per patient and per annum, as well as measures of % renewable power and resource efficiency used to make that product.",112-153 [% renewable power and resource efficiency],8-16 [captures],ongoing,2.0,3_max,False,False,True,situation,"The PSI captures GHG and water intensity metrics per product, per patient and per annum, as well as measures of % renewable power and resource efficiency used to make that product. (keyword: ""% renewable power and resource efficiency"", event trigger: ""captures"")","The PSI captures GHG and water intensity metrics per product, per patient and per annum, as well as measures of % renewable power and resource efficiency used to make that product. (keyword: ""% renewable power and resource efficiency"")",,
131.txt,"The PSI captures GHG and water intensity metrics per product, per patient and per annum, as well as measures of % renewable power and resource efficiency used to make that product.",17-48 [GHG and water intensity metrics],8-16 [captures],ongoing,2.0,3_max,False,True,False,situation,"The PSI captures GHG and water intensity metrics per product, per patient and per annum, as well as measures of % renewable power and resource efficiency used to make that product. (keyword: ""GHG and water intensity metrics"", event trigger: ""captures"")","The PSI captures GHG and water intensity metrics per product, per patient and per annum, as well as measures of % renewable power and resource efficiency used to make that product. (keyword: ""GHG and water intensity metrics"")",,
133.txt,Climate-related risks and opportunities can be found in the respec- tive categories of the risk and opportunity report according to their cause.,0-21 [Climate-related risks],40-52 [can be found],ongoing,1.0,3_max,False,False,False,situation,"Climate-related risks and opportunities can be found in the respec- tive categories of the risk and opportunity report according to their cause. (keyword: ""Climate-related risks"", event trigger: ""can be found"")","Climate-related risks and opportunities can be found in the respec- tive categories of the risk and opportunity report according to their cause. (keyword: ""Climate-related risks"")",,
134.txt,These include the rights of our workforce and those living in communities potentially affected by our activities.,18-24 [rights],6-13 [include],ongoing,1.0,3_max,False,True,False,situation,"These include the rights of our workforce and those living in communities potentially affected by our activities. (keyword: ""rights"", event trigger: ""include"")","These include the rights of our workforce and those living in communities potentially affected by our activities. (keyword: ""rights"")",,
135.txt,"ESG issues, such as climate change, can also have a material impact on value.  ",20-34 [climate change],45-49 [have],ongoing,2.0,_,False,False,True,situation,"ESG issues, such as climate change, can also have a material impact on value. (keyword: ""climate change"", event trigger: ""have"")","ESG issues, such as climate change, can also have a material impact on value. (keyword: ""climate change"")",,
136.txt,"Our work with hop farmers promotes certification, reduced pesticide use, and use of renewable biomass energy for hop drying.",84-108 [renewable biomass energy],77-83 [use of],ongoing,2.0,_,False,False,True,action,"Our work with hop farmers promotes certification, reduced pesticide use, and use of renewable biomass energy for hop drying. (keyword: ""renewable biomass energy"", event trigger: ""use of"")","Our work with hop farmers promotes certification, reduced pesticide use, and use of renewable biomass energy for hop drying. (keyword: ""renewable biomass energy"")",,
137.txt,"For instance, we have partnered with Public Power Corporation (PPC), Greece’s largest energy group, to position ourselves as a solar power producer in its home market.",127-147 [solar power producer],103-111 [position],ongoing,1.0,2_high,False,False,True,action,"For instance, we have partnered with Public Power Corporation (PPC), Greece’s largest energy group, to position ourselves as a solar power producer in its home market. (keyword: ""solar power producer"", event trigger: ""position"")","For instance, we have partnered with Public Power Corporation (PPC), Greece’s largest energy group, to position ourselves as a solar power producer in its home market. (keyword: ""solar power producer"")",,
137.txt,"For instance, we have partnered with Public Power Corporation (PPC), Greece’s largest energy group, to position ourselves as a solar power producer in its home market.",37-61 [Public Power Corporation],22-31 [partnered],past,1.0,3_max,False,False,True,action,"For instance, we have partnered with Public Power Corporation (PPC), Greece’s largest energy group, to position ourselves as a solar power producer in its home market. (keyword: ""Public Power Corporation"", event trigger: ""partnered"")","For instance, we have partnered with Public Power Corporation (PPC), Greece’s largest energy group, to position ourselves as a solar power producer in its home market. (keyword: ""Public Power Corporation"")",,
137.txt,"For instance, we have partnered with Public Power Corporation (PPC), Greece’s largest energy group, to position ourselves as a solar power producer in its home market.",69-98 [Greece’s largest energy group],22-31 [partnered],past,1.0,3_max,False,True,False,action,"For instance, we have partnered with Public Power Corporation (PPC), Greece’s largest energy group, to position ourselves as a solar power producer in its home market. (keyword: ""Greece’s largest energy group"", event trigger: ""partnered"")","For instance, we have partnered with Public Power Corporation (PPC), Greece’s largest energy group, to position ourselves as a solar power producer in its home market. (keyword: ""Greece’s largest energy group"")",,
139.txt,"We are also committed to realizing our market leadership in ""Sustainable Corporate Social Responsibility"" (""CSR"") activities.  ","106-124 [(""CSR"") activities]",25-34 [realizing],future,1.0,0_low,False,False,False,intention,"We are also committed to realizing our market leadership in ""Sustainable Corporate Social Responsibility"" (""CSR"") activities. (keyword: ""(""CSR"") activities"", event trigger: ""realizing"")","We are also committed to realizing our market leadership in ""Sustainable Corporate Social Responsibility"" (""CSR"") activities. (keyword: ""(""CSR"") activities"")",,
139.txt,"We are also committed to realizing our market leadership in ""Sustainable Corporate Social Responsibility"" (""CSR"") activities.  ",35-56 [our market leadership],25-34 [realizing],future,1.0,0_low,False,True,False,intention,"We are also committed to realizing our market leadership in ""Sustainable Corporate Social Responsibility"" (""CSR"") activities. (keyword: ""our market leadership"", event trigger: ""realizing"")","We are also committed to realizing our market leadership in ""Sustainable Corporate Social Responsibility"" (""CSR"") activities. (keyword: ""our market leadership"")",,
139.txt,"We are also committed to realizing our market leadership in ""Sustainable Corporate Social Responsibility"" (""CSR"") activities.  ",61-104 [Sustainable Corporate Social Responsibility],25-34 [realizing],future,1.0,0_low,False,False,True,intention,"We are also committed to realizing our market leadership in ""Sustainable Corporate Social Responsibility"" (""CSR"") activities. (keyword: ""Sustainable Corporate Social Responsibility"", event trigger: ""realizing"")","We are also committed to realizing our market leadership in ""Sustainable Corporate Social Responsibility"" (""CSR"") activities. (keyword: ""Sustainable Corporate Social Responsibility"")",,
14.txt,"In addition, the Board has introduced a policy to ensure that the financial and social performance of each of the Group's service lines and regions is reported in the report.  ",66-98 [financial and social performance],50-56 [ensure],ongoing,2.0,1_medium,False,False,False,action,"In addition, the Board has introduced a policy to ensure that the financial and social performance of each of the Group's service lines and regions is reported in the report. (keyword: ""financial and social performance"", event trigger: ""ensure"")","In addition, the Board has introduced a policy to ensure that the financial and social performance of each of the Group's service lines and regions is reported in the report. (keyword: ""financial and social performance"")",,
141.txt,"We also introduced a new water stewardship pilot, focused on six key sites in water-scarce areas as these face future water availability and quality risks.",111-136 [future water availability],106-110 [face],future,2.0,3_max,False,False,False,situation,"We also introduced a new water stewardship pilot, focused on six key sites in water-scarce areas as these face future water availability and quality risks. (keyword: ""future water availability"", event trigger: ""face"")","We also introduced a new water stewardship pilot, focused on six key sites in water-scarce areas as these face future water availability and quality risks. (keyword: ""future water availability"")",,
141.txt,"We also introduced a new water stewardship pilot, focused on six key sites in water-scarce areas as these face future water availability and quality risks.",78-96 [water-scarce areas],50-57 [focused],ongoing,2.0,3_max,False,False,True,action,"We also introduced a new water stewardship pilot, focused on six key sites in water-scarce areas as these face future water availability and quality risks. (keyword: ""water-scarce areas"", event trigger: ""focused"")","We also introduced a new water stewardship pilot, focused on six key sites in water-scarce areas as these face future water availability and quality risks. (keyword: ""water-scarce areas"")",,
